first_name,last_name,urls
Marc,Wolpow,['http://www.vnews.com/At-the-Hospitals-July-2-2017-11048215']
David,Pulver,['https://sportsperspectives.com/2017/07/02/carters-inc-cri-shares-bought-by-principal-financial-group-inc-updated.html']
Kevin,Starr,['https://www.com-unik.info/2017/07/02/cytomx-therapeutics-nasdaqctmx-earning-positive-news-coverage-study-finds.html']
Barbro,Osher,['http://www.broadwayworld.com/article/23000-Attend-San-Francisco-Operas-11th-Free-Opera-at-the-Ballpark-Simulcast-20170702']
Kevin,Starr,['https://transcriptdaily.com/2017/07/09/analysts-set-cytomx-therapeutics-inc-ctmx-target-price-at-28-50-updated-updated.html']
David,Pulver,['https://transcriptdaily.com/2017/07/09/gotham-asset-management-llc-invests-18-39-million-in-carters-inc-cri-updated-updated.html']
Joan,Alfond,['http://www.centralmaine.com/2017/07/08/waterville-educare-class-among-maine-programs-spared-of-state-funding-cuts/']
David,Pulver,['http://bangaloreweekly.com/blackrock-inc-purchases-3998642-shares-of-carters-inc-nysecri-359099.html']
Bob,Diamond,"['https://www.bloombergquint.com/opinion/2017/07/07/don-t-blame-brussels-bureaucrats-for-rbs-s-missing-billions', 'http://www.thefinancialexpress-bd.com/2017/07/07/76214/Barclays-Bank-CEO-gets-reprimanded']"
Kevin,Starr,['https://sportsperspectives.com/2017/07/06/46224-shares-in-cytomx-therapeutics-inc-ctmx-acquired-by-monashee-investment-management-llc-updated-updated.html']
Rick,McVey,['https://weeklyhub.com/marketaxess-holdings-inc-mktx-analysts-see-1-00-eps-2/']
Kevin,Starr,['https://www.baseball-news-blog.com/citadel-advisors-llc-takes-position-in-cytomx-therapeutics-inc-nasdaqctmx/']
Phillip,Frost,['http://www.sun-sentinel.com/features/south-florida-parenting/fl-fea-sfp-family-events-070617-story.html']
Paul,Nussbaum,['http://www.hotelbusiness.com/Personnel/Waramaug-Acquires-NJ-SpringHill-Suites/57404']
Eric,Rosengren,['http://www.businessinsider.com/fed-june-minutes-preview-2017-7']
David,Pulver,['https://www.chaffeybreeze.com/2017/07/04/ameriprise-financial-inc-purchases-53045-shares-of-carters-inc-cri-updated-updated.html']
Kevin,Starr,['https://www.themarketsdaily.com/2017/06/29/iguana-healthcare-management-llc-takes-position-in-cytomx-therapeutics-inc-ctmx-updated.html']
David,Pulver,['https://transcriptdaily.com/2017/06/29/gotham-asset-management-llc-invests-18-39-million-in-carters-inc-cri-updated.html']
Tom,Whidden,['http://www.sailingscuttlebutt.com/2017/06/29/inductees-announced-usa-hall-fame/']
Phillip,Frost,"['https://seekingalpha.com/article/4085049-opko-health-poised-growth', 'https://kldaily.com/phillip-frost-ceo-chairman-of-opko-health-inc-nasdaqopk-just-purchased-shares/']"
Amy,Walter,['http://www.pbs.org/newshour/bb/challenge-democrats-search-unified-message/']
